,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
182,1,0,4.2,287,1,78,1761,350.0,8783
183,1,0,3.6,11,4,78,2381,100.0,251
184,1,0,4.1,402,1,19,557,500.0,8783
185,1,0,3.8,469,4,27,1856,750.0,8783
186,1,0,3.3,511,49,27,239,550.0,8783
187,1,0,3.9,57,1,78,2489,200.0,4742
188,1,0,3.4,14,1,78,2381,300.0,8783
189,1,0,3.9,264,1,78,2381,200.0,8783
190,1,0,3.0,62,1,19,700,400.0,8783
191,1,0,3.8,693,1,27,2252,750.0,8783
192,1,0,3.8,242,32,27,1654,650.0,8783
193,1,0,3.6,27,4,40,1215,250.0,8783
194,1,0,4.1,163,4,78,1050,500.0,8783
195,1,0,4.2,191,4,78,2556,250.0,6890
196,1,0,3.5,32,1,78,2269,150.0,8783
197,1,0,2.5,247,1,27,1761,500.0,8783
198,1,1,4.1,2339,32,27,1852,1500.0,8783
199,1,0,4.1,337,32,78,839,300.0,8783
200,1,0,3.9,135,1,27,1872,800.0,8783
201,1,0,3.6,172,84,27,1834,700.0,8783
202,1,0,3.6,105,1,27,2629,700.0,8783
203,1,0,4.2,504,1,19,744,550.0,8783
204,1,0,3.2,36,49,78,1338,200.0,8783
205,1,0,3.1,39,49,78,1761,300.0,8783
206,1,0,3.1,5,49,27,1863,500.0,8783
207,1,0,3.700448817952717,0,4,78,1834,300.0,8783
208,1,1,4.3,1129,32,27,1517,1300.0,8783
209,1,0,3.9,56,49,78,1834,350.0,8783
210,1,0,4.3,860,1,40,1178,500.0,8783
211,1,0,3.8,412,32,27,106,700.0,8783
212,1,1,3.9,142,32,27,1658,1000.0,8783
213,1,0,3.0,23,32,78,54,400.0,8783
214,1,0,3.6,143,32,27,2395,750.0,8783
215,1,1,2.8,80,32,27,2386,500.0,8783
216,1,0,3.6,16,29,27,2381,400.0,8783
217,1,0,4.4,181,32,14,382,250.0,8783
218,1,0,3.8,70,32,78,2211,200.0,8783
219,1,0,3.8,164,4,78,2256,600.0,8783
220,1,0,3.6,58,49,78,597,650.0,8783
221,0,0,3.8,148,4,29,1830,550.0,8783
222,0,0,3.9,206,4,78,2463,450.0,8783
223,0,0,3.700448817952717,0,4,0,263,300.0,8783
224,0,0,3.700448817952717,0,29,40,1442,200.0,8783
225,0,0,3.6,16,57,78,2381,300.0,8783
226,0,0,3.7,217,4,27,1956,450.0,8783
227,0,0,3.6,46,4,78,109,450.0,8783
228,0,0,3.8,148,4,78,1338,150.0,8783
229,0,0,3.4,30,4,40,1153,250.0,8783
230,0,0,3.6,8,57,27,2139,800.0,8783
231,0,0,3.3,4,32,78,2381,250.0,8783
232,0,0,3.5,15,4,6,254,400.0,8783
233,0,0,3.700448817952717,0,4,78,2381,100.0,8783
234,0,0,3.700448817952717,0,84,78,1834,300.0,8783
235,0,0,3.700448817952717,0,32,78,2157,200.0,8783
236,1,0,3.4,9,84,78,2537,200.0,8783
237,0,0,3.700448817952717,0,87,78,1857,350.0,8783
238,1,0,3.7,31,57,78,2469,300.0,239
239,1,0,2.9,177,32,27,1859,700.0,8783
240,1,0,3.7,22,4,88,1689,250.0,8783
241,1,0,3.5,10,49,14,1530,100.0,5218
242,1,0,3.7,136,1,78,2309,600.0,8783
243,1,0,2.9,35,49,78,1834,250.0,8783
244,1,0,4.1,185,32,78,1535,200.0,8783
245,1,0,3.2,17,32,19,685,900.0,8783
246,1,0,3.8,155,57,27,2489,400.0,8783
247,1,0,3.8,42,1,78,2474,300.0,5061
248,1,0,3.8,286,4,27,1761,600.0,8783
249,1,0,3.8,160,1,27,1834,700.0,8783
250,1,0,3.8,59,1,27,1834,750.0,8783
251,1,0,3.5,90,32,27,2344,500.0,8783
252,1,0,3.7,51,49,78,2463,350.0,8783
253,1,0,4.0,89,32,78,2391,200.0,8783
254,1,0,3.6,18,1,78,1321,250.0,8783
255,1,0,3.9,40,4,27,1955,600.0,8783
256,1,0,2.5,35,4,78,1215,200.0,8783
257,1,0,3.4,89,32,78,1939,250.0,8783
258,1,0,3.2,11,4,78,343,150.0,8783
259,1,0,3.6,62,1,81,1491,600.0,8783
260,1,0,3.9,33,32,40,1153,300.0,8783
261,1,0,3.8,32,32,88,1185,250.0,8783
262,1,0,4.1,139,32,27,1951,550.0,8783
263,1,0,3.2,154,87,78,1215,300.0,8783
264,1,0,3.6,14,1,0,263,350.0,8783
265,1,0,3.7,237,1,78,2436,200.0,5488
266,1,0,3.9,388,1,27,490,650.0,8783
267,1,0,3.9,128,49,27,2433,500.0,164
268,1,1,4.1,1875,32,27,1764,1200.0,8783
269,1,0,3.8,90,1,19,557,650.0,8783
270,1,0,3.1,7,49,78,1482,250.0,4298
271,1,0,3.7,38,84,27,2469,400.0,6514
272,1,0,4.2,179,1,39,2236,600.0,8783
273,1,0,4.0,43,4,40,1178,250.0,8783
274,1,0,4.3,275,4,78,2381,100.0,4713
275,1,0,3.7,323,32,27,956,850.0,8783
276,1,0,3.1,28,84,27,2474,400.0,4720
277,1,0,3.9,18,4,78,2447,200.0,8783
278,1,0,3.3,6,4,78,2556,100.0,8783
279,1,0,3.700448817952717,0,4,40,330,100.0,8783
280,1,0,4.3,322,32,27,2381,400.0,8783
281,1,0,2.6,157,32,19,574,450.0,8783
282,1,0,3.9,543,4,78,2436,300.0,4733
283,1,0,3.7,180,1,19,759,500.0,8783
284,1,0,4.2,444,4,78,2381,100.0,6789
285,1,0,3.9,134,32,78,2578,400.0,7268
286,1,0,3.8,577,32,27,2148,900.0,8783
287,1,0,4.2,60,1,78,2489,200.0,173
288,1,0,3.9,144,32,27,1939,550.0,8783
289,1,0,4.1,787,1,27,922,800.0,8783
290,1,0,3.6,16,4,78,2381,200.0,7880
291,1,0,3.6,84,1,78,2474,250.0,179
292,1,0,3.6,95,1,78,2518,150.0,5674
293,1,1,4.0,349,1,27,2339,1200.0,8783
294,1,0,3.7,248,49,78,2012,400.0,8783
295,1,0,4.1,216,4,19,632,500.0,8783
296,1,0,3.700448817952717,0,49,27,388,400.0,8783
297,1,0,4.0,324,1,19,719,700.0,8783
298,1,0,2.6,231,49,78,1942,400.0,7706
299,1,0,3.4,102,84,27,2476,400.0,1253
300,1,0,3.9,133,1,19,692,800.0,8783
301,1,0,2.8,45,1,27,2264,800.0,8783
302,1,0,3.9,149,49,78,1264,300.0,8783
303,1,0,3.8,75,1,78,1256,200.0,8783
304,1,0,4.0,53,68,39,1683,600.0,8783
305,1,1,4.2,815,32,27,1834,900.0,8783
306,1,1,4.0,633,1,27,1834,800.0,8783
307,1,0,3.5,56,32,40,1451,400.0,8783
308,1,0,3.0,82,1,78,2489,300.0,6900
309,1,0,3.7,35,32,78,1215,200.0,8783
310,1,0,3.6,20,4,78,1537,150.0,515
311,1,0,3.1,14,49,78,2432,250.0,8783
